thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
30,0,30,down,0,0.5857430999167264,None,0,30,0,30,0,48.63288759998977,,48.61697639990598,48.63288759998977,49.616949500050396,49.63407610007562,50.21695899986662,down,0,0.5857430999167264,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
31,0,31,up,1,0.36586389993317425,None,0,31,0,31,0,50.23314130003564,,50.21729280008003,50.23314130003564,51.21672670007683,51.234328399877995,51.599602200090885,up,1,0.36586389993317425,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
32,0,32,down,0,0.4403023000340909,None,0,32,0,32,0,51.61713039991446,,51.60000399989076,51.61713039991446,52.60034739994444,52.61780099989846,53.05137709993869,down,0,0.4403023000340909,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
33,0,33,up,1,0.6076333001255989,None,0,33,0,33,0,53.067525800084695,,53.05165189993568,53.067525800084695,54.06763589987531,54.08440489997156,54.68295009993017,up,1,0.6076333001255989,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
34,0,34,down,1,0.73578320001252,None,3,34,0,34,0,54.70023799990304,,54.68332469998859,54.70023799990304,55.68378830002621,55.700855100061744,56.433949700091034,down,1,0.73578320001252,None,3,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
35,0,35,down,1,0.646584999980405,None,4,35,0,35,0,56.450087500037625,,56.43426780006848,56.450087500037625,57.43394919997081,57.450893099885434,58.084548000013456,down,1,0.646584999980405,None,4,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
36,0,36,up,1,0.5264912999700755,None,0,36,0,36,0,58.09961949987337,,58.08503800001927,58.09961949987337,59.10093700001016,59.10093700001016,59.6337830000557,up,1,0.5264912999700755,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
37,0,37,up,0,0.7472198000177741,None,1,37,0,37,0,59.649996399879456,,59.634088800055906,59.649996399879456,60.63460509991273,60.65136020001955,61.38290049997158,up,0,0.7472198000177741,None,1,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
38,0,38,down,0,0.551236999919638,None,0,38,0,38,0,61.40120969992131,,61.38313729991205,61.40120969992131,62.38429980003275,62.40110930008814,62.951275300001726,down,0,0.551236999919638,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
39,0,39,up,1,0.5196726999711245,None,0,39,0,39,0,62.96773750009015,,62.951560999965295,62.96773750009015,63.96771920006722,63.96771920006722,64.49952009995468,up,1,0.5196726999711245,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
40,0,40,down,1,0.4376658000983298,None,-3,40,0,40,0,64.51770399999805,,64.49978139996529,64.51770399999805,65.50064589991234,65.51725169993006,65.95134530006908,down,1,0.4376658000983298,None,-3,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
41,0,41,up,1,0.5334499999880791,None,0,41,0,41,0,65.96637069992721,,65.95164459990337,65.96637069992721,66.9675129998941,66.9675129998941,67.51765520009212,up,1,0.5334499999880791,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
42,0,42,up,1,0.512974499957636,None,0,42,0,42,0,67.53297589998692,,67.51802930003032,67.53297589998692,68.53405770007521,68.53405770007521,69.04960049991496,up,1,0.512974499957636,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
43,0,43,up,1,0.5834296999964863,None,0,43,0,43,0,69.0658857000526,,69.04983759997413,69.0658857000526,70.05054449988529,70.06763679999858,70.65069389995188,up,1,0.5834296999964863,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
44,0,44,down,0,0.547154399799183,None,0,44,0,44,0,70.66685749986209,,70.65096709993668,70.66685749986209,71.66713110008277,71.68319360003807,72.21829740004614,down,0,0.547154399799183,None,0,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
45,0,45,down,1,0.5931481001898646,None,-3,45,0,45,0,72.23279020003974,,72.21859980002046,72.23279020003974,73.21722059999593,73.23391429986805,73.81695390003733,down,1,0.5931481001898646,None,-3,6124,001,2025-09-09_11h35.15.472,signal_detection_orien_psychopy,,2025.1.1,59.9645129683566,2025-09-09 11h35.33.108185 +0530,
