thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
91,0,91,[np.float64(-0.27870370370370373)],[np.float64(-0.30462962962962964)],[1],[0],[0],[3.8985057000008965],['target'],91,0,91,0,252.5636662,,10,252.5537161,252.5636662,252.5636662,0.0187387,256.4522856,[np.float64(-0.27870370370370373)],[np.float64(-0.30462962962962964)],[1],[0],[0],[3.8985057000008965],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
92,0,92,[np.float64(0.08055555555555556)],[np.float64(0.3175925925925926)],[1],[0],[0],[2.6485013000001345],['target'],92,0,92,0,256.480304,,10,256.4697937,256.480304,256.480304,0.0173864,259.1183515,[np.float64(0.08055555555555556)],[np.float64(0.3175925925925926)],[1],[0],[0],[2.6485013000001345],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
93,0,93,[np.float64(-0.29444444444444445)],[np.float64(-0.32685185185185184)],[1],[0],[0],[2.4774100000013277],['target'],93,0,93,0,259.1365803,,5,259.126995,259.1365803,259.1365803,0.0085255,261.6044659,[np.float64(-0.29444444444444445)],[np.float64(-0.32685185185185184)],[1],[0],[0],[2.4774100000013277],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
94,0,94,[np.float64(0.4287037037037037)],[np.float64(0.2657407407407407)],[1],[0],[0],[2.122132700000293],['target'],94,0,94,0,261.6210636,,5,261.6131148,261.6210636,261.6210636,0.0085484,263.7353128,[np.float64(0.4287037037037037)],[np.float64(0.2657407407407407)],[1],[0],[0],[2.122132700000293],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
95,0,95,[np.float64(-0.27314814814814814)],[np.float64(0.0712962962962963)],[1],[0],[0],[1.9745208999993338],['target'],95,0,95,0,263.7525955,,5,263.7441474,263.7525955,263.7525955,0.0087344,265.7187214,[np.float64(-0.27314814814814814)],[np.float64(0.0712962962962963)],[1],[0],[0],[1.9745208999993338],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
96,0,96,[np.float64(0.4777777777777778)],[np.float64(0.29074074074074074)],[1],[0],[0],[3.4563574000003427],['target'],96,0,96,0,265.737949,,5,265.7292236,265.737949,265.737949,0.0104302,269.1856455,[np.float64(0.4777777777777778)],[np.float64(0.29074074074074074)],[1],[0],[0],[3.4563574000003427],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
97,0,97,[np.float64(-0.20092592592592592)],[np.float64(0.4842592592592593)],[1],[0],[0],[3.639759399999093],[None],97,0,97,0,269.2035824,,5,269.196085,269.2035824,269.2035824,0.0103405,272.8358986,[np.float64(-0.20092592592592592)],[np.float64(0.4842592592592593)],[1],[0],[0],[3.639759399999093],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
98,0,98,[np.float64(0.10925925925925926)],[np.float64(-0.41944444444444445)],[1],[0],[0],[3.058117399999901],['target'],98,0,98,0,272.8530208,,5,272.8455171,272.8530208,272.8530208,0.0095287,275.9036995,[np.float64(0.10925925925925926)],[np.float64(-0.41944444444444445)],[1],[0],[0],[3.058117399999901],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
99,0,99,[np.float64(0.39351851851851855)],[np.float64(-0.04259259259259259)],[1],[0],[0],[3.0655635000002803],['target'],99,0,99,0,275.9328011,,10,275.9219569,275.9328011,275.9328011,0.0181621,278.9875932,[np.float64(0.39351851851851855)],[np.float64(-0.04259259259259259)],[1],[0],[0],[3.0655635000002803],['target'],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
100,0,100,[np.float64(-0.3490740740740741)],[np.float64(-0.06759259259259259)],[1],[0],[0],[2.4057996999999887],[None],100,0,100,0,279.0061442,,5,278.9983668,279.0061442,279.0061442,0.010645,281.4042307,[np.float64(-0.3490740740740741)],[np.float64(-0.06759259259259259)],[1],[0],[0],[2.4057996999999887],[None],1,1,2025-09-28_18h46.24.639,Visual_Search_exp,,2025.1.1,60.34292886,2025-09-28 18h46.42.454845 +0530
