cue_arrow,target_x,condition,corr_Ans,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,start_key.started,welcome.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,fixation.stopped,cue_text.started,cue_text.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thankyou.started,text.started,text.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
→,-0.5,invalid,left,252,2,25,left,1,1.2547096999915084,None,25,2,252,8,457.49484569999913,,,,,,,,,457.48198989999946,457.49484569999913,457.97960550000425,457.97960550000425,458.2801471999992,458.57927380000183,458.57927380000183,459.8457858000038,left,1,1.2547096999915084,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,253,3,25,right,1,0.2857183000014629,None,25,3,253,2,459.86129440000514,,,,,,,,,459.8462456999987,459.86129440000514,460.3461890000035,460.3461890000035,460.6462821000023,460.94643989999895,460.94643989999895,461.2463260000077,right,1,0.2857183000014629,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,254,4,25,left,1,0.285373199993046,None,25,4,254,4,461.26178190000064,,,,,,,,,461.24975319999794,461.26178190000064,461.7463607999962,461.7463607999962,462.0458682000026,462.3454819000035,462.3454819000035,462.64720439999655,left,1,0.285373199993046,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,255,5,25,left,1,0.3895979999942938,None,25,5,255,5,462.66247389999626,,,,,,,,,462.64770780000254,462.66247389999626,463.1465295999951,463.1465295999951,463.4631298000022,463.74617549999675,463.74617549999675,464.1464834000071,left,1,0.3895979999942938,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,0.5,invalid,right,256,6,25,right,1,1.0037659000081476,None,25,6,256,9,464.16298330000427,,,,,,,,,464.1470429000037,464.16298330000427,464.64590390000376,464.64590390000376,464.9457734000025,465.2461483999941,465.2461483999941,466.26303679999546,right,1,1.0037659000081476,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,257,7,25,right,1,0.3903079999872716,None,25,7,257,7,466.2800977000006,,,,,,,,,466.2651973000029,466.2800977000006,466.7629333999939,466.7629333999939,467.0628660999937,467.36319230000663,467.36319230000663,467.76231380000536,right,1,0.3903079999872716,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,0.5,valid,right,258,8,25,right,1,0.35263449999911245,None,25,8,258,0,467.779827499995,,,,,,,,,467.7627691999951,467.779827499995,468.2622335000051,468.2622335000051,468.56306929999846,468.8631555000029,468.8631555000029,469.229568499999,right,1,0.35263449999911245,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,259,9,25,left,1,0.3491123999992851,None,25,9,259,1,469.2461154000048,,,,,,,,,469.2317098000058,469.2461154000048,469.7298895999993,469.7298895999993,470.02926120000484,470.3299866000016,470.3299866000016,470.69589210000413,left,1,0.3491123999992851,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
→,-0.5,invalid,left,260,0,26,left,1,1.1227821999927983,None,26,0,260,8,470.7126830000052,,,,,,,,,470.69806589999644,470.7126830000052,471.1962779000023,471.1962779000023,471.49631509999745,471.79610530000355,471.79610530000355,472.92960889999813,left,1,1.1227821999927983,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
←,-0.5,valid,left,261,1,26,left,1,0.2834601999929873,None,26,1,261,6,472.94649459999346,,,,,,,,,472.9317433999968,472.94649459999346,473.4295264999964,473.4295264999964,473.74487500000396,474.0300881000003,474.0300881000003,474.3295553000062,left,1,0.2834601999929873,None,,,,,01,001,2025-11-14_19h53.20.016,cueing_task_exp,,2025.1.1,59.7863713364382,2025-11-14 19h53.27.332117 +0530,
